"filename", "language", "C++", "C", "Markdown", "comment", "blank", "total"
"/home/aya/Projects/bitcoin/src/crypto/aes.cpp", "C++", 110, 0, 0, 12, 31, 153
"/home/aya/Projects/bitcoin/src/crypto/aes.h", "C++", 48, 0, 0, 7, 13, 68
"/home/aya/Projects/bitcoin/src/crypto/chacha20.cpp", "C++", 276, 0, 0, 7, 28, 311
"/home/aya/Projects/bitcoin/src/crypto/chacha20.h", "C++", 18, 0, 0, 9, 8, 35
"/home/aya/Projects/bitcoin/src/crypto/chacha_poly_aead.cpp", "C++", 79, 0, 0, 24, 23, 126
"/home/aya/Projects/bitcoin/src/crypto/chacha_poly_aead.h", "C++", 22, 0, 0, 113, 12, 147
"/home/aya/Projects/bitcoin/src/crypto/common.h", "C++", 83, 0, 0, 4, 17, 104
"/home/aya/Projects/bitcoin/src/crypto/ctaes/README.md", "Markdown", 0, 0, 27, 0, 15, 42
"/home/aya/Projects/bitcoin/src/crypto/ctaes/bench.c", "C", 0, 152, 0, 0, 19, 171
"/home/aya/Projects/bitcoin/src/crypto/ctaes/ctaes.c", "C", 0, 428, 0, 78, 51, 557
"/home/aya/Projects/bitcoin/src/crypto/ctaes/ctaes.h", "C++", 26, 0, 0, 5, 11, 42
"/home/aya/Projects/bitcoin/src/crypto/ctaes/test.c", "C", 0, 96, 0, 7, 8, 111
"/home/aya/Projects/bitcoin/src/crypto/hkdf_sha256_32.cpp", "C++", 13, 0, 0, 4, 5, 22
"/home/aya/Projects/bitcoin/src/crypto/hkdf_sha256_32.h", "C++", 15, 0, 0, 4, 7, 26
"/home/aya/Projects/bitcoin/src/crypto/hmac_sha256.cpp", "C++", 25, 0, 0, 3, 7, 35
"/home/aya/Projects/bitcoin/src/crypto/hmac_sha256.h", "C++", 21, 0, 0, 4, 8, 33
"/home/aya/Projects/bitcoin/src/crypto/hmac_sha512.cpp", "C++", 25, 0, 0, 3, 7, 35
"/home/aya/Projects/bitcoin/src/crypto/hmac_sha512.h", "C++", 21, 0, 0, 4, 8, 33
"/home/aya/Projects/bitcoin/src/crypto/poly1305.cpp", "C++", 105, 0, 0, 10, 27, 142
"/home/aya/Projects/bitcoin/src/crypto/poly1305.h", "C++", 9, 0, 0, 3, 6, 18
"/home/aya/Projects/bitcoin/src/crypto/ripemd160.cpp", "C++", 258, 0, 0, 11, 24, 293
"/home/aya/Projects/bitcoin/src/crypto/ripemd160.h", "C++", 18, 0, 0, 4, 7, 29
"/home/aya/Projects/bitcoin/src/crypto/sha1.cpp", "C++", 165, 0, 0, 12, 23, 200
"/home/aya/Projects/bitcoin/src/crypto/sha1.h", "C++", 18, 0, 0, 4, 7, 29
"/home/aya/Projects/bitcoin/src/crypto/sha256.cpp", "C++", 640, 0, 0, 25, 55, 720
"/home/aya/Projects/bitcoin/src/crypto/sha256.h", "C++", 21, 0, 0, 12, 9, 42
"/home/aya/Projects/bitcoin/src/crypto/sha256_avx2.cpp", "C++", 297, 0, 0, 8, 24, 329
"/home/aya/Projects/bitcoin/src/crypto/sha256_shani.cpp", "C++", 310, 0, 0, 17, 30, 357
"/home/aya/Projects/bitcoin/src/crypto/sha256_sse4.cpp", "C++", 943, 0, 0, 552, 12, 1507
"/home/aya/Projects/bitcoin/src/crypto/sha256_sse41.cpp", "C++", 289, 0, 0, 8, 24, 321
"/home/aya/Projects/bitcoin/src/crypto/sha512.cpp", "C++", 174, 0, 0, 12, 22, 208
"/home/aya/Projects/bitcoin/src/crypto/sha512.h", "C++", 19, 0, 0, 4, 7, 30
"/home/aya/Projects/bitcoin/src/crypto/siphash.cpp", "C++", 146, 0, 0, 5, 23, 174
"/home/aya/Projects/bitcoin/src/crypto/siphash.h", "C++", 19, 0, 0, 21, 8, 48
"Total", "-", 4213, 676, 27, 996, 586, 6498